spectral_centroid_mean,spectral_centroid_std,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,spectral_contrast_mean,spectral_contrast_std,zero_crossing_rate_mean,zero_crossing_rate_std,harmonic_ratio,percussive_ratio,tempo,onset_density,onset_strength_mean,onset_strength_std,ioi_mean,ioi_std,ioi_cv,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cqt_mean,chroma_cqt_std,tonnetz_mean,tonnetz_std,repetition_score,self_similarity_mean,self_similarity_std,rms_mean,rms_std,rms_var,dynamic_range_db,crest_factor,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_delta_mean,mfcc_delta_std,mfcc_delta2_mean,mfcc_delta2_std,filename,label,track_index
1565.575606466316,917.2824712451526,841407.1320536142,2283.5240232874485,692.7612185189653,3523.8703583047118,2468.1511626464408,0.0066418587,0.016809558,22.521463738262085,10.536663621152641,0.04174388968169505,0.04239420281623777,0.80668974,0.19331028,143.5546875,5.733333333333333,2.045029,2.8068516,0.1739459760512392,0.11522384463418138,0.6624116708525636,0.43207255,0.30656433,0.09398169,0.42433882,0.25191468,0.028865556818289846,0.11344673645827073,0.10246935976832881,0.10246935976832881,0.19291663351130423,0.20851684,0.06735489,0.0045366804,80.0,3.0383599,-153.56346,75.586365,115.34565,41.22581,34.611465,23.744253,31.869764,16.895592,9.5208845,16.971268,4.224991,14.732289,10.597266,12.826633,0.25204656,12.34191,2.3098505,9.414874,5.5129113,10.685157,2.2362528,8.020293,9.165858,6.978247,-6.1989174,8.671252,-0.021039575,4.59833,0.0046736985,3.0626192,ai_afrobeat_03_01.wav,AI,11
2154.417430170846,913.9315046602463,835270.7952105419,2366.2158634335165,661.3472166567124,4858.678953566418,1933.1093580592726,0.020548914,0.033582106,23.74369826429512,11.004594330039632,0.0758113329624613,0.04394404763652554,0.48713276,0.5128672,112.34714673913044,6.166666666666667,1.8379365,2.5070326,0.16165631469979297,0.058219590853828655,0.3601442415778591,0.33629426,0.30695963,0.09422421,0.5201487,0.24999277,0.0041307447553290515,0.09674553551886918,0.13937626250030885,0.13937626250030885,0.23333953503176247,0.13705423,0.050894983,0.0025902994,80.0,4.207524,-129.94681,76.908455,97.63566,36.828754,3.9543223,25.596195,36.147015,20.384579,-8.244324,12.400327,2.0037007,9.979842,-2.3740458,11.124833,0.368983,9.867018,8.155977,10.397566,5.4378295,8.702569,0.7601752,9.025385,-0.93017447,8.855759,-6.5751953,9.124237,0.0012876107,3.2899926,0.002645041,2.3500762,ai_afrobeat_01_01.wav,AI,12
2223.701237003909,622.7127715445943,387771.1958447501,2505.5002934014606,424.48164369159036,4826.320815898316,1546.822226955891,0.014781747,0.020432506,24.782641855819065,10.589703868618518,0.07902937850715944,0.030734924569707875,0.6459127,0.35408726,112.34714673913044,6.3,1.893814,2.5370533,0.15895788102475034,0.05215635093587631,0.32811428159233813,0.2888295,0.2969388,0.08817265,0.49453872,0.25598004,0.004619791675732075,0.10862786883948568,0.1206148701014595,0.1206148701014595,0.20606240557074038,0.13754782,0.038370617,0.0014723043,80.0,3.3182817,-120.49613,58.447536,84.99851,22.992037,-0.5240846,18.925146,29.25133,13.422969,3.6996508,11.798031,-11.56822,11.106994,-3.4976954,10.266152,-4.444974,9.217839,-9.549828,9.760664,0.13654009,10.325086,-6.9981384,11.027275,-1.71779,11.441636,-10.006838,10.623168,-0.014456539,3.8581364,0.006548882,2.7140183,ai_afrobeat_01_02.wav,AI,13
1926.0762075168805,1170.3895270190883,1369811.6449559655,2045.1124905405916,810.3165851606823,4011.6924085115133,2462.135887545787,0.03170542,0.09976798,23.14959645086382,10.88260292326795,0.09378854851973684,0.13036100112316046,0.40922797,0.59077203,99.38401442307692,4.266666666666667,1.9425094,3.2645488,0.23384505508240042,0.2116578359998276,0.9051199989037414,0.39874884,0.32041478,0.102665626,0.47997662,0.28463805,0.012131742623455479,0.12648968198499097,0.12213202822541598,0.12213202822541598,0.2157491675231639,0.10703573,0.07386936,0.0054566823,80.0,4.6036463,-204.94131,112.15646,105.587944,49.224842,-3.1874275,32.189915,26.625341,21.52782,3.7591941,18.426363,-5.502214,13.912734,-1.0679375,12.333522,7.3864484,12.599735,-0.6427192,10.117293,-6.55291,11.6542635,-5.313864,9.550676,0.10890198,9.565954,-11.561045,9.90196,-0.02134284,5.247946,0.0013531947,3.6868436,ai_afrobeat_05_01.wav,AI,14
2916.2418139161928,808.6225962981327,653870.503243933,3067.742206331703,312.6455219840947,6826.9837181634575,1403.1770522065128,0.031432305,0.04579441,23.24227885635639,9.680608932674147,0.10477790005804953,0.0566479478896217,0.7694286,0.23057139,103.359375,4.766666666666667,1.6468548,1.8883892,0.21045127910319056,0.10747995160812931,0.5107118002139995,0.29693434,0.30517453,0.0931315,0.3696217,0.29638952,0.0038201971224574244,0.17109549617688583,0.13430259486934581,0.13430259486934581,0.21934674899991827,0.13422619,0.046182327,0.0021328072,80.0,4.3067174,-107.56252,51.897415,67.89609,28.767448,17.802658,20.85721,2.9368372,19.882574,-5.5550137,18.791204,-0.5120893,16.211378,1.292978,12.131928,-5.3033285,10.814372,-1.4334471,15.814002,0.36479068,12.644716,2.7777376,11.197657,1.5506463,12.620865,-1.9997826,8.853558,0.0014186528,3.5395987,0.0011510309,2.3758147,ai_afrobeat_09_01.wav,AI,15
2102.4267552940423,1167.2236929348153,1362411.1493483877,2338.6862581297646,801.3122202287775,4590.447242193547,2642.5232187119814,0.029343493,0.05615054,24.06944552415686,10.93836676918905,0.07737330386513158,0.05723680898491596,0.6181722,0.38182783,99.38401442307692,4.866666666666666,2.1655643,3.769514,0.20465587614356084,0.131888276889188,0.644439238073339,0.41438827,0.3109721,0.09670364,0.54932034,0.272666,0.010544922942921012,0.10720503109929487,0.1369139815161854,0.1369139815161854,0.21673954109160967,0.11622046,0.06761406,0.0045716614,80.0,5.084739,-196.54149,128.8069,92.51472,45.143936,18.705555,33.00515,33.2337,20.477833,2.511305,15.730932,-3.974194,16.958057,2.5230706,12.445246,8.259022,11.902248,-0.03078345,10.937923,-0.49528447,11.698926,-3.1144,10.744336,2.875969,10.223732,-3.418711,8.527079,0.015532035,6.6956835,0.0030563592,4.176434,ai_afrobeat_05_02.wav,AI,16
2409.8891241011383,933.975942089667,872311.060402281,2634.624265469035,478.22520254300565,5349.2676537103325,1922.9876901513512,0.01893221,0.031353705,23.790910153374522,10.700799032476583,0.08307621722619969,0.05734503268366594,0.6636509,0.33634913,99.38401442307692,4.633333333333334,1.8440412,2.5066988,0.21638305563771404,0.08852871300015366,0.4091296000014695,0.32303596,0.31390816,0.09853834,0.46922404,0.27557454,0.03508445444045377,0.11687091971822448,0.1234457236307463,0.1234457236307463,0.21121822230631598,0.12522313,0.055278953,0.0030557625,80.0,4.4252715,-146.18616,75.6335,77.38521,37.761127,9.12383,22.19178,17.570398,19.78767,-1.3514475,16.17523,4.776646,14.529134,-1.1154565,13.764755,-3.3267753,12.9438925,-0.73385686,13.551491,-2.7336376,12.560339,4.8415117,14.062757,-0.74806595,10.6444235,-10.770816,9.1411,0.011600365,4.352444,0.0010500422,2.9251401,ai_afrobeat_09_02.wav,AI,17
2856.111896553926,730.9524636390735,534291.504100031,2729.013894000781,244.09352468533038,6063.904999062742,1220.0265726435312,0.036044057,0.04113308,23.53491278705206,11.495333132907263,0.12169616510255418,0.060205626052827366,0.6720448,0.32795522,117.45383522727273,5.833333333333333,1.6877086,1.8895156,0.1717475955899601,0.06646474822670582,0.38699085130360433,0.39566258,0.29893288,0.08936086,0.57684755,0.24119154,0.020503356816190733,0.06832877923331916,0.11758924693865425,0.11758924693865425,0.2038554913673401,0.1479815,0.04343613,0.0018866974,80.0,3.528898,-77.51907,48.23248,59.79801,25.575344,-1.8625246,20.409538,27.90194,15.159583,5.223378,12.986337,3.7238336,11.513842,-3.413967,12.773462,5.2448125,10.52883,3.7447793,10.797138,12.0069895,12.167132,-3.5394738,9.158133,6.653518,9.151157,-4.7953305,10.06135,0.017003726,3.356663,0.0037034024,2.1889114,ai_afrobeat_07_02.wav,AI,18
2487.9319633408486,718.4746365833923,516205.80341363774,2678.835257381428,388.0950386323598,5576.2496145148025,1633.1178846968646,0.020035818,0.02867812,23.607789352441085,11.430387974858029,0.09377343145317338,0.044132134012256435,0.72043127,0.27956876,117.45383522727273,4.266666666666667,1.6840986,2.2432947,0.23274804935097398,0.0952031325494496,0.4090394433591467,0.33957353,0.30643988,0.09390539,0.49895242,0.27738732,0.009607759662162693,0.10704199068137395,0.12362823723535069,0.12362823723535069,0.2204058538501365,0.15144368,0.059839506,0.0035807663,80.0,3.391044,-108.608574,66.43571,76.856766,27.80823,12.038114,22.00037,33.711514,15.305868,8.813549,11.753745,-4.801941,12.18581,-4.920438,11.66096,3.2479992,11.85212,-9.924086,11.801836,-0.57836264,10.06312,-8.668968,11.030178,5.8254623,9.488601,-2.9451582,11.125987,-0.0017211047,3.8501596,-0.0017217792,2.5198374,ai_afrobeat_07_01.wav,AI,19
3175.862711045805,710.1385905463833,504296.81778320385,3138.414653058631,239.36662187072727,7289.905918936242,1052.531115554702,0.052621335,0.050203595,19.587721472294515,8.116471745637762,0.11707638956075851,0.05327188720497335,0.31662193,0.6833781,112.34714673913044,6.6,2.3810904,3.366379,0.15169584585103074,0.04860070761591797,0.3203825875604077,0.38539493,0.30442572,0.09267502,0.6444641,0.22242232,0.007919116436088875,0.04385017628201617,0.13111892260811428,0.13111892260811428,0.211293369869336,0.056857713,0.03215787,0.0010341285,80.0,7.8423343,-181.08379,70.500465,64.16128,21.599,25.368996,20.130463,12.771938,11.44018,-0.28493175,11.6369295,4.049244,11.563075,-7.614078,9.461283,1.8547043,9.438131,-0.5935171,8.034999,4.4945865,8.886897,-1.5077528,7.683301,2.6592906,8.209612,-0.5798253,8.131542,-0.0020091757,4.0298014,-0.0058608516,3.097626,human_afrobeat_03_01.wav,Human,0
