classifier,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
SVM (RBF),0.95,0.06123724356957946,0.96,0.07999999999999999,0.95,0.09999999999999999,0.9492063492063492,0.06301407378183878,0.9875,0.024999999999999998
Logistic Regression,0.95,0.06123724356957946,0.9199999999999999,0.09797958971132709,1.0,0.0,0.9555555555555555,0.054433105395181765,0.975,0.03061862178478973
Random Forest,0.925,0.09999999999999999,0.9099999999999999,0.11135528725660043,0.95,0.09999999999999999,0.9277777777777778,0.098757715747951,0.96875,0.0625
Gradient Boosting,0.9,0.09354143466934853,0.8699999999999999,0.10770329614269006,0.95,0.09999999999999999,0.9055555555555556,0.09229582069908972,0.94375,0.057282196186948006
