feature,ai_entropy,human_entropy,entropy_ratio,ai_lower_entropy
ioi_mean,1.4028093241195319,3.0778360743968025,0.4557777900483072,True
ioi_std,1.3741024829547555,2.7430190660311453,0.500945290527249,True
rms_var,2.06210792942601,3.518984062691106,0.5859952454143923,True
rms_std,2.633496837178367,3.7543666049825766,0.701449036352322,True
spectral_contrast_mean,2.543437596595874,3.4604878155038112,0.7349939465761638,True
rms_mean,2.846672467524348,3.8266782092572402,0.7439017110552623,True
mfcc_0_mean,2.7761231230262005,3.5353248903706955,0.7852526172594878,True
tonnetz_std,3.0938211548788503,3.930167961472246,0.787198202521579,True
mfcc_1_mean,2.905750952000833,3.6224993020866227,0.802139823830213,True
mfcc_3_std,3.0204071177179443,3.7387689069676653,0.8078614091630634,True
tonnetz_mean,2.9783498322325785,3.63086811298713,0.8202858764215145,True
spectral_centroid_var,2.917390878163112,3.551189467750426,0.821524986108723,True
onset_density,3.0866177658692284,3.7473241194316596,0.8236858268714056,True
spectral_centroid_std,2.918447575580504,3.52130015416506,0.8287982983014128,True
ioi_cv,2.8486668532955526,3.4095330509402895,0.8355005834332476,True
mfcc_2_std,3.1920415594964577,3.727607737815785,0.8563244268204182,True
mfcc_delta2_mean,3.2651657258076137,3.809998313026023,0.8569992576228502,True
onset_strength_std,3.159836154514899,3.6400028057763296,0.8680861864997871,True
mfcc_4_mean,3.18200832415668,3.6523173903412296,0.8712299573338533,True
crest_factor,2.823965349890624,3.2367451938072533,0.872470701522509,True
spectral_bandwidth_mean,3.224407867961874,3.693123743254485,0.8730841672584831,True
spectral_bandwidth_std,3.4211017572157876,3.8900617567965745,0.8794466440638282,True
mfcc_delta2_std,3.2820083212226745,3.729901087999948,0.879918325926052,True
mfcc_2_mean,3.288997237697666,3.727539261134262,0.8823507969428735,True
percussive_ratio,3.382321886072935,3.830868112670137,0.882912641885611,True
harmonic_ratio,3.382321886072935,3.830868112670136,0.8829126418856112,True
mfcc_delta_std,3.3589927477906754,3.8033406177146207,0.8831690572613115,True
mfcc_10_mean,3.26802930394641,3.69640410547975,0.8841103977516165,True
mfcc_11_mean,3.390132996689676,3.8216155032518015,0.8870942128544909,True
mfcc_1_std,3.407054276944854,3.80500504490716,0.8954138658778005,True
mfcc_12_std,3.4852659362901424,3.879411602284522,0.8984006580373494,True
spectral_contrast_std,3.1016789621409213,3.451235203409967,0.8987156132031601,True
mfcc_10_std,3.369579524375209,3.7460782691681813,0.8994952273443624,True
mfcc_8_mean,3.6203816104789546,4.008021284261992,0.9032840281300016,True
spectral_flatness_std,2.2545834108084937,2.4933892878941513,0.9042243911750554,True
chroma_stft_var,3.1340452761310504,3.4521189935919585,0.9078613112551055,True
chroma_cqt_mean,3.5546334874398973,3.906787388513636,0.9098610018786515,True
spectral_centroid_mean,3.2703454064054043,3.594088014205798,0.9099235726780239,True
mfcc_11_std,3.4449156073356058,3.782160971084069,0.9108326254945729,True
tempo,3.067915108548445,3.366517551962648,0.9113022763715815,True
mfcc_9_std,3.4848354077892743,3.80845181324766,0.9150267821867433,True
chroma_stft_std,3.0657141850795453,3.3428206544329067,0.9171039974920907,True
onset_strength_mean,3.09594159780131,3.3703226567738893,0.918589082733337,True
zero_crossing_rate_std,3.101704457521653,3.3759852478670984,0.9187553350481219,True
mfcc_5_std,3.7267239503677976,3.996834622546392,0.9324188519948052,True
chroma_stft_mean,3.4294705736503195,3.6730692652203722,0.9336797991051667,True
mfcc_3_mean,3.4162601923741045,3.6407029595497296,0.9383518046736272,True
mfcc_6_std,3.611083268393579,3.8257569172218973,0.9438872742118166,True
mfcc_0_std,3.539423328374026,3.746508797710553,0.9447257485520721,True
chroma_cqt_std,3.374303175372575,3.5648988516446263,0.9465354602742453,True
mfcc_7_std,3.640969830695704,3.79172618692312,0.9602407060015716,True
self_similarity_std,3.6390385323571883,3.7787142027868645,0.963036190901481,True
repetition_score,3.3346274992825715,3.444485081525446,0.9681062394980029,True
self_similarity_mean,3.3346274992825715,3.444485081525446,0.9681062394980029,True
spectral_rolloff_mean,3.524163732213167,3.6165043136545787,0.9744668958107507,True
mfcc_8_std,3.5957067087406096,3.6819370842728896,0.9765801605082807,True
mfcc_delta_mean,3.4797446197791095,3.548727375076412,0.9805612694337171,True
mfcc_6_mean,3.6146881859866724,3.6629675503721066,0.9868196035805642,True
zero_crossing_rate_mean,3.156659011473235,3.1705090530659445,0.9956316032028623,True
spectral_rolloff_std,3.4914848171936943,3.4962084628155328,0.9986489233487998,True
dynamic_range_db,6.297236428682688e-08,6.297236428682688e-08,1.0,False
mfcc_4_std,3.6115137915112374,3.6050050508166733,1.001805473391248,False
mfcc_12_mean,4.019250921968869,3.997801644690257,1.005365268011008,False
spectral_flatness_mean,2.792784697931598,2.7763006093916527,1.0059374292842003,False
mfcc_7_mean,3.517272946985009,3.4879668209317263,1.0084020656037818,False
mfcc_9_mean,3.4809955551249363,3.4269103496616644,1.0157824979193317,False
mfcc_5_mean,3.8213458754470566,3.5726387396535095,1.0696144093812485,False
