classifier,accuracy_mean,accuracy_std,auc_mean,auc_std
Logistic Regression,0.9333333333333333,0.020412414523193187,0.975,0.030618621784789718
Random Forest,0.9416666666666667,0.05,0.976388888888889,0.03093202423794456
Gradient Boosting,0.875,0.06972166887783963,0.9576388888888889,0.03881441281245031
SVM (RBF),0.95,0.0311804782231162,0.9930555555555556,0.010758287072798342
