feature,ai_variance,human_variance,variance_ratio,levene_statistic,levene_pvalue,f_statistic,f_pvalue,significant,ai_lower_variance,levene_p_fdr,significant_fdr
spectral_centroid_std,0.5250355754669765,1.4588242046823217,0.3599032520723153,9.994011847719328,0.001996253505004825,0.3599032520723153,0.00012911679179085852,True,True,0.008359311552207706,True
tempo,0.5451952440727618,1.4610115434047015,0.3731628586604139,6.303787825782812,0.01340151327663824,0.3731628586604139,0.0002175577517003715,True,True,0.04081369952430736,True
tonnetz_mean,0.5550458122907382,1.410137193989877,0.39361121361551915,8.34180677951481,0.0046103824994657965,0.39361121361551915,0.0004575729128784964,True,True,0.01716086819245602,True
spectral_centroid_mean,0.5300697427455067,1.3089009978697714,0.4049731367064369,2.4788116564919807,0.11806681163534069,0.4049731367064369,0.0006716415224736121,False,True,0.17978355408108695,False
zero_crossing_rate_mean,0.5684753626236403,1.3938270161138142,0.4078521624646289,0.3365593666630395,0.5629281380165219,0.4078521624646289,0.0007379427374798925,False,True,0.6392573770696095,False
chroma_cqt_mean,0.5369932961483646,1.3002649323966637,0.41298760181017274,12.167353330062854,0.0006842587698485765,0.41298760181017274,0.0008702527387955252,True,True,0.0038204447983212187,True
spectral_bandwidth_std,0.5363375707245266,1.271174945022525,0.4219227045220143,5.643763282932644,0.019128470732393207,0.4219227045220143,0.00114920265323689,True,True,0.04929259765655172,True
mfcc_1_std,0.5138900714329192,1.2102895795488062,0.4246009220574274,7.5390379549881965,0.006983325750788641,0.4246009220574274,0.0012464186116249022,True,True,0.024625411858044153,True
mfcc_0_mean,0.6015320364199044,1.4159958598098958,0.42481200227567256,4.577343418068867,0.03445732868837629,0.42481200227567256,0.0012543700948818436,True,True,0.07645195731140267,False
percussive_ratio,0.5906544064047785,1.3854530238956955,0.42632582716081047,13.795183066489052,0.00031283305410501706,0.42632582716081047,0.0013126743737443237,True,True,0.0020959814625036146,True
harmonic_ratio,0.5906544064047787,1.3854530238956952,0.42632582716081074,13.79518306648904,0.00031283305410501706,0.42632582716081074,0.0013126743737443393,True,True,0.0020959814625036146,True
spectral_rolloff_mean,0.5555736251365895,1.2755689937812749,0.4355496471340657,2.81107634803865,0.0962629429069494,0.4355496471340657,0.0017201759199334434,False,True,0.1637935361651808,False
chroma_stft_std,0.42368315982405214,0.9703598431515017,0.4366247869945116,2.6673378613396146,0.1050927656142031,0.4366247869945116,0.0017739921051121467,False,True,0.16764798324170493,False
onset_strength_std,0.6043230682353079,1.35811307080889,0.44497257350993175,6.416755952096694,0.012616812750074565,0.44497257350993175,0.002242427284851664,True,True,0.04025364067880933,True
mfcc_2_std,0.5662170329939165,1.2523605565472367,0.45211982286872654,10.146431304575023,0.0018498877485892396,0.45211982286872654,0.002722466052782779,True,True,0.008262831943698604,True
ioi_cv,0.5277588395528556,1.1504123853562058,0.45875622191727705,3.868533092161313,0.05154667988377658,0.45875622191727705,0.0032425856620125065,False,True,0.10157728094744209,False
mfcc_delta2_std,0.6292958179464793,1.3688950299445577,0.459710791682812,4.374420066513484,0.03862737140722865,0.459710791682812,0.0033238075654191614,True,True,0.08087605888388498,False
